commission,entryDt,entryPrice,exitDt,exitPrice,pnl,slippage,turnover,volume
0.1,2018-05-29 12:15:00,11.64,2018-05-30 01:58:00,12.1101,-4.138659793814421,0,200,-1
0.1,2018-05-30 23:00:00,11.8706,2018-06-02 16:24:00,13.3318,12.209403063029669,0,200,1
0.1,2018-06-03 21:30:00,15.2758,2018-06-04 19:53:00,13.421,12.04208093847786,0,200,-1
0.1,2018-06-05 16:30:00,13.8073,2018-06-08 00:55:00,14.4085,-4.454218420690507,0,200,-1
0.1,2018-06-08 12:15:00,13.69,2018-06-10 11:43:00,13.14,-4.1175310445580635,0,200,1
0.1,2018-06-12 06:30:00,11.58,2018-06-13 03:11:00,10.178,12.00708117443868,0,200,-1
0.1,2018-06-14 22:00:00,9.9938,2018-06-15 02:05:00,11.3314,13.284298264924255,0,200,1
0.1,2018-06-17 20:45:00,10.4384,2018-06-22 14:30:00,9.9736,-4.552789699570818,0,200,1
0.1,2018-06-24 06:00:00,8.519,2018-06-24 13:13:00,7.425,12.741882850099781,0,200,-1
0.1,2018-06-25 00:45:00,7.8014,2018-06-25 01:24:00,8.2574,-5.945104724792991,0,200,-1
0.1,2018-06-25 03:15:00,8.0482,2018-06-25 04:46:00,8.38,-4.222660967669804,0,200,-1
0.1,2018-06-25 23:00:00,8.4388,2018-06-27 08:15:00,7.4167,12.01191164620563,0,200,-1
0.1,2018-06-27 23:45:00,7.9813,2018-07-02 21:29:00,8.3202,-4.346175435079495,0,200,-1
0.1,2018-07-04 20:15:00,9.1214,2018-07-10 07:24:00,7.982,12.391503497270149,0,200,-1
0.1,2018-07-13 08:00:00,6.9208,2018-07-13 10:37:00,7.2071,-4.23680499364235,0,200,-1
0.1,2018-07-14 03:15:00,6.9009,2018-07-16 18:37:00,7.7397,12.05493631265487,0,200,1
0.1,2018-07-18 00:00:00,8.1027,2018-07-18 01:42:00,8.4199,-4.014744467893414,0,200,-1
0.1,2018-07-19 03:15:00,8.6744,2018-07-19 23:52:00,8.3285,-4.087595683851336,0,200,1
0.1,2018-07-22 22:45:00,8.1898,2018-07-24 21:41:00,8.5497,-4.494490707953792,0,200,-1
0.1,2018-07-25 22:15:00,8.412,2018-07-27 20:48:00,8.05,-4.40337612933904,0,200,1
0.1,2018-07-27 23:30:00,8.4062,2018-07-31 16:59:00,7.396,11.91732054911851,0,200,-1
0.1,2018-08-02 05:00:00,7.1537,2018-08-03 09:15:00,6.86,-4.205567748158288,0,200,1
0.1,2018-08-03 22:15:00,7.1467,2018-08-08 12:03:00,6.2567,12.353300124532998,0,200,-1
0.1,2018-08-09 22:15:00,5.8508,2018-08-11 08:50:00,5.1283,12.248738634032941,0,200,-1
0.1,2018-08-12 01:30:00,5.1931,2018-08-14 05:56:00,4.5699,11.900539176984857,0,200,-1
0.1,2018-08-15 07:30:00,4.4581,2018-08-15 08:02:00,4.6647,-4.7342612323635604,0,200,-1
0.1,2018-08-16 20:15:00,4.791,2018-08-18 00:36:00,5.0,-4.4623460655395455,0,200,-1
0.1,2018-08-18 22:00:00,5.0971,2018-08-19 00:28:00,4.8855,-4.251380196582366,0,200,1
0.1,2018-08-19 19:45:00,5.2725,2018-08-23 04:07:00,4.6169,12.334329065908008,0,200,-1
0.1,2018-08-23 22:15:00,4.8487,2018-08-25 03:44:00,5.0787,-4.843539505434454,0,200,-1
0.1,2018-08-25 15:00:00,4.9258,2018-08-29 02:37:00,5.5531,12.634987210199359,0,200,1
0.1,2018-08-30 00:15:00,5.8987,2018-09-01 09:04:00,6.6075,11.916206960855785,0,200,1
0.1,2018-09-02 09:00:00,6.4576,2018-09-05 17:58:00,6.1768,-4.448364717542123,0,200,1
0.1,2018-09-07 07:45:00,5.2404,2018-09-13 23:59:00,5.2988,-1.2144187466605563,0,200,-1
